Name        Id          Range_low        Range_high       CB_mean      CB_sigma    CB_alpha1      CB_alpha2      CB_n1          CB_n2       EvtNr
Si1_19      18          0.12             0.8              0.186011     0.076224    1.5320         1.51475        11.9434        11          123765
Si1_20      19          0.13             1                0.228101     0.0807395   1.432          1.82181        11.9434        14.9999     125809
Si1_21      20          0.105            1.2              0.270153     0.0800868   0.473385       1.84283        12.9482        15.0        127285
Si1_22      21          0.11             1.2              0.334124     0.0751984   0.471612       1.78111        9.9768         15          122476
Si1_23      22          0.12             1.2              0.386512     0.074989    0.566121       1.92285        10.0001        15          109537
Si1_24      23          0.11             1.2              0.424125     0.0759325   0.713343       1.96571        9.9975         13.0        97076.
Si1_25      24          0.12             1.2              0.500814     0.0761319   0.759631       1.99767        6.00981        15          91629.
Si1_26      25          0.105            1.4              0.53472      0.0767234   0.875984       1.86454        6.00104        13          83621 
Si1_27      26          0.11             1.4              0.61137      0.0771594   0.918967       1.92158        9.9917         13          77235.
Si1_28      27          0.11             1.4              0.669066     0.0788885   1.1162         2.06978        4.29573        6.71        72450.
Si1_29      28          0.115            1.4              0.735616     0.0784418   1.09965        1.85623        6.99998        13.9        68558.
Si1_30      29          0.13             1.4              0.8125       0.08270     1.35413        1.72535        8.99975        10          65497.8
Si1_31      30          0.12             1.4              0.8825       0.08139     1.3            2.01397        9.0            10          63151.2
Si1_32      31          0.12             1.4              0.9575       0.08340     1.63148        1.98863        8.99996        10          61509
Si1_33      32          0.12             1.4              1.0325       0.08460     1.49748        2.12472        8.99948        9.90321     60355
Si1_34      33          0.11             1.8              1.1225       0.08504     1.45719        2.33776        8.99168        10          60089
Si1_35      34          0.11             1.8              1.1925       0.08739     1.32617        2.11441        8.99977        3.61319     57281.3
Si1_36      35          0.11             2.0              1.2775       0.08800     1.32727        1.8564         8.41114        9.99997     51425.4
Si1_37      36          0.11             2.0              1.3625       0.08885     1.46011        1.9485         6.68513        9.9984      40092.5
Si1_38      37          0.11             2.0              1.4575       0.08948     1.52161        2.02577        8.99985        9.99987     30211.2
Si1_39      38          0.11             4.0              1.5525       0.08984     1.53195        2.14832        8.99995        4.21233     19490.9
Si1_40      39          0.11             4.0              1.6425       0.09156     1.47167        1.87694        8.99999        9.99994     11030.9
Si1_41      40          0.11             4.0              1.7475       0.09241     1.47231        2.23727        8.99981        10          6253
Si1_42      41          0.11             4.0              1.8475       0.09313     1.51888        2.10773        4.99972        10          3862.12
Si1_43      42          0.11             4.0              1.9525       0.09505     1.4543         2.04698        8.99882        10          2748.64
Si1_44      43          0.11             4.0              2.0575       0.09620     1.41643        1.97295        8.99933        9.40533     1855.86
Si1_45      44          0.11             4.0              2.1725       0.09789     1.54071        2.28956        8.52741        9.4158      1250.12
Si1_46      45          0.11             4.0              2.2875       0.09891     1.6157         2.34238        8.49341        9.96647     816.033
Si1_47      46          0.11             4.0              2.4075       0.10098     1.45658        2.10025        8.70484        9.99972     563.183
Si2_2       16777217    0.11             1.8              0.8025       0.07803     1.42785        2.18076        8.73219        9.55618     67951.8
Si2_3       16777218    0.11             1.8              0.8575       0.08523     1.19628        1.91687        8.99999        10          65542.8
Si2_4       16777219    0.11             1.8              0.9375       0.08273     1.2            1.9            10             11          63644.7
Si2_5       16777220    0.11             1.8              1.0175       0.08430     1.44795        2.10499        8.99543        10          61777.7
Si2_6       16777221    0.11             1.8              1.0975       0.08498     1.71517        2.35554        8.9999         10          60502.8
Si2_7       16777222    0.11             2.0              1.1675       0.08688     1.46729        2.0000         5              9.99979     59746.1
Si2_8       16777223    0.11             2.0              1.2525       0.08854     1.26761        2.04293        8.99997        10          55743.4
Si2_9       16777224    0.11             2.0              1.3475       0.08899     1.4211         4.843          8.9565         6.50718     45775.9
Si2_10      16777225    0.11             2.0              1.4425       0.08992     1.42577        2.61202        8.99843        2.16604     35379.5
Si2_11      16777226    0.11             6.0              1.5275       0.09044     1.39598        1.96449        8.99974        7.53323     23289
Si2_12      16777227    0.11             6.0              1.6325       0.09102     1.45624        2.08964        8.99998        9.9999      13489.7
Si2_13      16777228    0.11             6.0              1.7225       0.09298     1.50887        1.96395        4.73859        6.60596     7687.59
Si2_14      16777229    0.11             6.0              1.8275       0.09407     1.45343        2.10988        4.99996        9.99984     4584.85
Si2_15      16777230    0.11             6.0              1.9375       0.09488     1.45294        2.10818        8.99952        6.00861     3157.38
Si2_16      16777231    0.11             6.0              2.0325       0.09677     1.58496        2.11587        6.17756        6.43579     2152.01
Si2_17      16777232    0.11             6.0              2.1525       0.09827     1.4669         2.04618        8.98756        10          1472.32
Si2_18      16777233    0.11             6.0              2.2675       0.09957     1.54576        2.22084        6.77965        4.70585     986.664
Si2_19      16777234    0.11             6.0              2.3775       0.10185     1.52961        2.06864        7.96486        9.99759     631.603
Si2_20      16777235    0.11             6.0              2.5025       0.10272     1.45265        2.32535        8.99078        5.51536     497.947
Si2_21      16777236    0.11             6.0              2.6275       0.10368     1.55861        2.23571        5.55892        5.5624      410.42
Si2_22      16777237    0.11             6.0              2.7475       0.10527     1.518          2.10373        6.37567        8.9046      296.709
Si2_23      16777238    0.11             6.0              2.8725       0.10870     1.51993        2.37018        8.9999         4.1227      293.822
Si2_24      16777239    0.11             6.0              3.0075       0.10876     1.59366        2.17844        3.42325        6.67485     226.964
Si2_25      16777240    0.11             6.0              3.1375       0.11041     1.62904        2.53431        10.0836        10.3562     264.937
Si2_26      16777241    0.11             6.0              3.2825       0.11155     1.57414        2.13263        8.9997         9.99589     227.184
Si2_27      16777242    0.11             6.0              3.4125       0.11165     1.53648        2.03591        8.99863        9.99999     206.51
Si2_28      16777243    0.11             6.0              3.5575       0.11333     1.46075        2.26603        9              5.025       193.343
Si2_29      16777244    0.11             6.0              3.7025       0.11509     1.64482        2.09402        7.51702        9.99945     212.774
Si2_30      16777245    0.11             6.0              3.8525       0.11669     1.63405        2.55775        3.87638        2.89279     188.077
Si2_31      16777246    0.11             6.0              4.0025       0.11745     1.66425        2.31393        8.99977        4.08322     156.346
Si2_32      16777247    0.11             6.0              4.1625       0.11929     1.66123        2.15729        8.99995        8.53045     157.975
Si2_33      16777248    0.11             6.0              4.2975       0.12010     1.58854        2.06305        5.00006        9.99999     145.84
Si2_34      16777249    0.11             6.0              4.4525       0.12191     1.70243        2.18243        8.41395        9.01067     125.968
